EL_KEY;EL_KEY2;EL_DESC;EL_DESC2;EL_DESCS;EL_ART1;EL_ART2;EL_ART3;EL_ART4;EL_ART5;EL_MAT1_KEY;EL_MAT2_KEY;EL_MAT1_QTY;EL_MAT2_QTY;EL_MAT1_THK;EL_MAT2_THK;EL_EF_MAT;EL_EF_THK;EL_EF_RIB;EL_EF_LENP;EL_EF_BA;EL_EF_CNC;EL_EF_ET;EL_EB_MAT;EL_EB_THK;EL_EB_RIB;EL_EB_LENP;EL_EB_BA;EL_EB_CNC;EL_EB_ET;EL_EL_MAT;EL_EL_THK;EL_EL_RIB;EL_EL_LENP;EL_EL_BA;EL_EL_CNC;EL_EL_ET;EL_ER_MAT;EL_ER_THK;EL_ER_RIB;EL_ER_LENP;EL_ER_BA;EL_ER_CNC;EL_ER_ET;EL_SUR_F;EL_SUR_B;EL_VAR_F;EL_VAR_B;EL_CORNER1;EL_CORNER2;EL_CORNER3;EL_CORNER4;EL_SURFACE;EL_SUR_RAD;EL_SUR_OVERDIM;EL_TEXTURE;EL_GROUP;EL_LAYER;EL_COR_OD_LL;EL_COR_OD_LR;EL_COR_OD_WF;EL_COR_OD_WB;EL_COR_OD_T;EL_MAT_OD;EL_CNC;EL_OVER_QTY;EL_CNC_PROG1;EL_CNC_PROG2;EL_CNC_PROG3;EL_CNC_PROG4;EL_PIC;EL_PLAN;EL_REMARK;EL_REMARK2;EL_REMARK3;EL_BOX;EL_BOX2;EL_MEMO;EL_DIFF_FAC;EL_NR;EL_SUR_F2;EL_SUR_B2;EL_USE_SF;EL_USE_SB;EL_SAW;EL_COLOUR;EL_LIN_WID;EL_PRODUCTION_TYPE;EL_ID;EL_MON_OD_LL;EL_MON_OD_LR;EL_MON_OD_WF;EL_MON_OD_WB;EL_MAC;EL_CUSTOM01;EL_CUSTOM02;EL_CUSTOM03;EL_CUSTOM04;EL_CUSTOM05;EL_CUSTOM06;EL_CUSTOM07;EL_CUSTOM08;EL_CUSTOM09;EL_CUSTOM10;EL_MUL_WITH_POS_QTY;EL_DIRLINE;EL_CHANGESIDES;EL_DEF_TEXTURE;EL_BLOK_ID;EL_BLOK_ELEM_ID;EL_PIC_FILE;EL_PIC_FILE2
3LADPZ1_XGXX;;LADICA PREDNJI I ZADNJI - kant 1;Gornji;;54;;;;;1IL16;;1;0;16;0;;0;0;0;0;0;;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;918;;;;;;;;;;;;;;;;1;1;0;1;;;;
3LADPODP1_XSXX;;LADICA POD - kant 1;Stražnji;;54;;;;;1IL16;;1;0;16;0;;0;0;0;0;0;;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;919;;;;;;;;;;;;;;;;1;1;0;1;;;;
3LADPODP1_PXXX;;LADICA POD - kant 1;Prednji;;54;;;;;1IL16;;1;0;16;0;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;920;;;;;;;;;;;;;;;;1;1;0;1;;;;
3LADPODP2_PSXX;;LADICA POD - kant 2;Prednji Stražnji;;54;;;;;1IL16;;1;0;16;0;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;;;0;0;0;0;;;;0;0;0;0;;;;;;0;0;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;921;;;;;;;;;;;;;;;;1;1;0;1;;;;
3LADPRE1_XGXX;;LADICA PREDNJI - kant 1;Gornji;;54;;;;;1IL16;;1;0;16;0;;0;0;0;0;0;;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;922;;;;;;;;;;;;;;;;1;1;0;1;;;;
7OBES_PAL_O;;PALICA ZA VJEŠANJE OKRUGLA;;;8;55;;;;ST_165026;;1;0;;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;0;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1166;;;;;;;;;;;;;;;;1;1;0;1;;;;
1LED_FF;;LEĐA FURNIR - kant furnir;;;53;;;;;1IV18;;1;0;18;0;4FRT10;1;0;0;0;0;;4FRT10;1;0;0;0;0;;4FRT10;1;0;0;0;0;;4FRT10;1;0;0;0;0;;2_LICE1;2_NAL1;8LAK-2X;8LAK-2X;0;0;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1170;;;;;;;;;;;;;;;;1;1;0;1;;;;
7OBES_PAL_U;;PALICA ZA VJEŠANJE OVALNA;;;8;55;;;;ST_150807;;1;0;;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;0;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1167;;;;;;;;;;;;;;;;1;1;0;1;;;;
1LED_FM;;LEĐA FURNIR - kant masiv;;;53;;;;;1IV18;;1;0;18;0;3MAS;10;0;0;1;0;;3MAS;10;0;0;1;0;;3MAS;10;0;0;1;0;;3MAS;10;0;0;1;0;;2_LICE1;2_NAL1;8LAK-2X;8LAK-2X;2;2;2;2;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1171;;;;;;;;;;;;;;;;1;1;0;1;;;;
1LED_MAS;;LEĐA MASIV;;;53;;;;;1MP18;;1;0;18;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1172;;;;;;;;;;;;;;;;1;1;0;1;;;;
1LED_MDF;;LEĐA MDF;;;53;;;;;1MDF18;;1;0;18;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1173;;;;;;;;;;;;;;;;1;1;0;1;;;;
1MS_FF;;MASKA FURNIR - kant furnir;;;2;21;;;;1IV18;;1;0;18;0;4FRT10;1;0;0;0;0;;4FRT10;1;0;0;0;0;;4FRT10;1;0;0;0;0;;4FRT10;1;0;0;0;0;;2_LICE1;2_NAL1;8LAK-2X;8LAK-2X;0;0;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1175;;;;;;;;;;;;;;;;1;1;0;1;;;;
1MS;;MASKA;;;2;21;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;;;;;0;0;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1174;;;;;;;;;;;;;;;;1;1;0;1;;;;
1MS_FM;;MASKA FURNIR - kant masiv;;;2;21;;;;1IV18;;1;0;18;0;3MAS;10;0;0;1;0;;3MAS;10;0;0;1;0;;3MAS;10;0;0;1;0;;3MAS;10;0;0;1;0;;2_LICE1;2_NAL1;8LAK-2X;8LAK-2X;2;2;2;2;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1176;;;;;;;;;;;;;;;;1;1;0;1;;;;
7PRAL_U20X20X2;;PROFIL ALUMINIJSKI 20 x 20 x 2;;;8;55;;;;9PU_20_20_2;;1;0;;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;5;4026531840;0;0;0;0;0;1;0;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;824;;;;;;;;;;;;;;;;1;1;0;1;;;;
1MS_MDF;;MASKA MDF;;;2;21;;;;1MDF18;;1;0;18;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1177;;;;;;;;;;;;;;;;1;1;0;1;;;;
4RUC_AL_1;;RUČKICA LETVASTA AL 1;;;1;25;36;;;4ALRUC_LET1;;1;0;19;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;825;;;;;;;;;;;;;;;;1;1;0;1;;;;
