UP_KEY;UP_DESC;UP_ALLOW_NEG;UP_IS_INT;UP_LIM_MIN;UP_LIM_MAX;UP_CAPTION;UP_LONGDESC;UP_TYPE;UP_PICTURE;UP_IS_WMF
OBLVU;Obloga vanjska/unutarnja;;;;;Bez/Vanjska/Unutarnja/Obje;;0;;
ODM_1;Odmak 1;;;;;;;0;;
ODM_2;Odmak 2;;;;;;;0;;
ODM_3;Odmak 3;;;;;;;0;;
ODM_4;Odmak 4;;;;;;;0;;
ODM_5;Odmak 5;;;;;;;0;;
RLVU;Radius luka vanjski/unutarnji;;;;;Vanjski/Unutarnji;;0;;
VLK;Visina luka;;;;;;;0;;
ISG;Izrez sifona - globina;0;0;;;;;0;System.Byte[];1
BCO;BoxCover;;1;;;Ne/Da;;0;;
STPS;Strop - sastavljen;;;;;Ne/Da/Vezovi;;0;System.Byte[];1
DE;Desno;0;0;;;Ne/Da;;0;;0
HLAC;Hlačnik;;;;;420/520/720/820/920;;0;System.Byte[];1
HLACR;Hlačnik - razmaknica;;;;;Ne/Da;;0;System.Byte[];1
ODPLM2;Odmak za vrata Le Mans;0;0;;;450/500/600;Širina korpusa mora minimalno biti: - za vrata širine 450 = 1009, - za vrata širine 500 = 1059, - za vrata širine 600 = 1259 mm.;0;;
ODPMC;Odmak za Magic Corner (min. 450);1;0;;;;Odmak vertikalne pregrade za izvlačne kutne police Magic Corner Kesseboehmer (širina vrata minimalno 450 mm);0;;
ODPS;Odmak sprijeda;1;0;;;;;0;System.Byte[];1
ODPZ;Odmak straga;1;0;;;;;0;System.Byte[];1
ODR;Odmak glodanja;1;0;;;;;0;System.Byte[];1
ODRKZ;Odrez u kutu zidova;1;0;;;;;0;;0
STROP;Strop - vrsta;;;;;Puni/Vezovi/Bez;;0;System.Byte[];0
ODS;Odmak poda sprijeda;1;0;;;;;0;System.Byte[];1
ODSD;Odmak prednjeg dijela;1;0;;;;;0;;0
ODSI;Odmak po širini;0;0;;;;;0;;0
ODSP;Odmak poda odozdo;1;0;;;;;0;System.Byte[];1
ODU;Odmak utora/leđa;1;0;;;;;0;System.Byte[];1
ODVI;Odmak po visini;0;0;;;;;0;;0
ODVP;Odmak ver. pregrade;1;0;;;;;0;System.Byte[];1
ODZ;Odmak poda straga;1;0;;;;;0;System.Byte[];1
ODZD;Odmak zadnjega dijela;1;0;;;;;0;System.Byte[];1
OFP;Odmak fix police;0;0;;;;;0;;0
ONL;Odmak naslonske letve;1;0;;;;;0;;0
KUTV1;Kut prve vertikale;;0;;;;;0;;
KUTV2;Kut druge vertikale;;0;;;;;0;;
KUTV3;Kut treće vertikale;;0;;;;;0;;
KUTV4;Kut četvrte vertikale;;0;;;;;0;;
KUTV5;Kut pete vertikale;;0;;;;;0;;
KUT_90;Kut između 10 i 90 stupnjeva;;;10;90;;;0;;
KUT_I1;Kut za izračun 1;;;;;;Pomoćno polje za izračun kuta;0;;
KUT2;Kut drugi;;;;;;;0;;
KUT3;Kut treći;;;;;;;0;;
KUT4;Kut četvrti;;;;;;;0;;
KUT5;Kut peti;;;;;;;0;;
KUT_I2;Kut za izračun 2;;;;;;Pomoćno polje za izračun kuta;0;;
VERTN;Broj vertikala;;;;;Bez/1/2/3/4/5;;0;;
VERTT;Vertikala debljina;;;;;;;0;;
HORT;Horizontala debljina;;;;;;;0;;
KUT_I3;Kut za izračun 3;;;;;;Pomoćno polje za izračun kuta;0;;
OOK;Odmak obline;1;0;;;;;0;System.Byte[];1
OP;Odmak police;1;0;;;;;0;System.Byte[];1
OPD;Odmak police po duljini;1;0;;;;;0;System.Byte[];1
OPR;Odmak profila;0;0;;;;;0;System.Byte[];1
OPS;Odmak ladice odozdo;1;0;;;;;0;System.Byte[];1
OPZ;Odmak ladice straga;1;0;;;;;0;System.Byte[];1
ORG;Odrez po dubini;0;0;;;;;0;;0
ORS;Odrez po širini;0;0;;;;;0;;0
OSDS;Odmak str.D sprijeda;1;0;;;;;0;System.Byte[];1
OSDZ;Odmak str.D straga;1;0;;;;;0;System.Byte[];1
OSLS;Odmak str.L sprijeda;1;0;;;;;0;System.Byte[];1
OSLZ;Odmak str.L straga;1;0;;;;;0;System.Byte[];1
OSP;Odmak pred.dijela ladice;1;0;;;;;0;System.Byte[];1
OSS;Odmak stropa sprijeda;1;0;;;;;0;System.Byte[];1
OSV;Bočni odmak vodilice;1;0;;;;;0;System.Byte[];1
OSZ;Odmak stropa straga;1;0;;;;;0;System.Byte[];1
OSZG;Odmak stropa odozgo;1;0;;;;;0;System.Byte[];1
VERTR;Vertikale razmak;;;;;Jednak/Različit;;0;;
KUT_I4;Kut za izračun 4;;;;;;Pomoćno polje za izračun kuta;0;;
VS_VN;Vertikalni nosač;;;;;S pokrovom/Puni;;0;;
VS_SZ;Vezanje za;;;;;Strop/Zid;;0;;
VS_ODM;Odmak od zida;;;;;170/245/295;;0;;
VS_VS;Veznik srednji;;;;;Ne/Da;;0;;
VS_VSO;Odmak srednjeg veznika od poda;;;;;;;0;;
UTDN;Utor Da/Ne;0;1;;;Ne/Da;;0;System.Byte[];0
UTDO;Utor dodatni - odmak;0;0;;;;;0;System.Byte[];0
UTDUB;Utor - dubina;0;0;;;;;0;System.Byte[];0
UTSIR;Utor - širina;0;0;;;;;0;System.Byte[];0
UTZ;Utor - zrak;0;0;;;;;0;System.Byte[];0
OVS;Odmak vrata sprijeda;1;0;;;;;0;System.Byte[];0
OZG;Odmak gore;1;0;;;;;0;;0
OZP;Odmak zad.dijela ladice;1;0;;;;;0;System.Byte[];1
OZS;Odmak cokla sprijeda;1;0;;;;;0;System.Byte[];1
PD;Prevjes desno;1;0;;;;;0;System.Byte[];1
PDS;Pod ispod ladice;0;0;;;Ne/Da;;0;System.Byte[];1
PDV;Preklop kliznih vrata;1;0;;;;;0;System.Byte[];1
PGLU;Dubina utora ladice;1;0;;;;;0;System.Byte[];1
PL;Prevjes lijevo;1;0;;;;;0;System.Byte[];1
PO;Broj polica;0;0;;;;;0;System.Byte[];1
PODD;Odmak podnice ladice;1;0;;;;;0;System.Byte[];1
POM1;Pomoćno 1;0;0;;;Ne/Da;;0;;0
POM2;Pomoćno 2;1;0;;;;;0;;0
POM3;Pomoćno 3;1;0;;;;;0;;0
POM4;Pomoćno 4;1;0;;;;;0;;0
PPD;Podnožje desno - produljenje;0;0;;;;Produljenje desne podne maske;0;System.Byte[];1
PPL;Podnožje lijevo - produljenje;0;0;;;;Produljenje lijeve podne maske;0;System.Byte[];1
PPP;Podnožje prednje - produljenje;0;0;;;;Produljenje prednje podne maske;0;;0
UKL;Uklada;;0;;;Ne/Da;;0;;
PR;Broj ladica;0;0;;;;;0;System.Byte[];1
DSTR;Druga strana;;0;;;Ne/Da;;0;System.Byte[];1
STR;Straga;0;0;;;Ne/Da;;0;;0
UZNN;Uznožje nisko;;0;;;Ne/Da;;0;;
VK;Visina korpusa;;0;;;;;0;;
BDN;Poluu./utor. pod;;0;;;Ne/Da;;0;System.Byte[];1
LDU0;Stijene bočne;;0;;;Lijeva/Desna/Lijeva i desna/Bez;;0;;
LEDOBL;LED maska - oblik;;;;;I/L/D/U;;0;System.Byte[];0
PRG;Broj pregrada;0;0;;;;;0;System.Byte[];1
PROF;Profili;0;0;;;;0 = bez profila;  1 =  profil 1;  2 = profil 2;  3 = profil 3;0;;
PROV;Provjera unosa;1;0;;;;;0;;0
PRP;Produljenje radne ploče;0;0;;;;;0;;0
PRU;Polumjer rolo utora;1;0;;;;;0;;0
PSD;Prevjes dolje desno;1;0;;;;;0;System.Byte[];1
PSDD;Produljenje stranice desne dolje;0;0;;;;Produljenje stranice desne dolje za krajnje kuhinjske ormariće s nogicama;0;;
PSL;Prevjes dolje lijevo;1;0;;;;;0;System.Byte[];1
PSLD;Produljenje stranice lijeve dolje;0;0;;;;Produljenje stranice lijeve dolje za krajnje kuhinjske ormariće s nogicama;0;;
PSS;Prevjes dolje sprijeda;1;0;;;;;0;System.Byte[];1
PSZ;Prevjes dolje straga;1;0;;;;;0;System.Byte[];1
PZ;Prva van / unutra;0;0;;;1. Van/2. Unutra;;0;System.Byte[];0
PZD;Prevjes gore desno;1;0;;;;;0;System.Byte[];1
VR;Broj vrata;0;0;;;;;0;;0
VR1;Vrata;;;;;1 - Ne/2 - Jednokrilna Lijeva/3 - Jednokrilna Desna/4 - Dvokrilna;;0;System.Byte[];0
ZPVID;Cokl vidljivi;;;;;Ne/Da;;0;System.Byte[];0
VRPOD;Vrata - pant odmak dolje;;;;;;;0;System.Byte[];0
POBOC;Broj polica bočnih;;;;;;;0;;
VRPOG;Vrata - pant odmak gore;;;;;;;0;System.Byte[];0
MSPRS;Maska - prevjes sprijeda;1;;;;;;0;System.Byte[];0
MSRT;Maska - rešetka tip;;;;;1 - GTV/2 - Schachermayer;;0;;
ODSM;Ormar do stropa - maska;;;;;1 - Ne/2 - Da - bez maske/3 - L maska/4 - Polegnuta maska;;0;System.Byte[];0
KVDS;Kuhinjski viseći - maska do stropa;;;;;1 - Ne/2 - zajednička maska/3 - L maska bez izreza/4 - L maska s izrezom/5 - I maska;;0;System.Byte[];0
MSDPG;Maska, dodatno proširenje gore;;;;;;Proširenje maske iznad gabaritne visine pozicije.;0;System.Byte[];0
GERT;Ger gore;;;;;Ne/Da;;0;System.Byte[];0
GERB;Ger dolje;;;;;Ne/Da;;0;System.Byte[];0
PZL;Prevjes gore lijevo;1;0;;;;;0;System.Byte[];1
PZS;Prevjes gore sprijeda;1;0;;;;;0;System.Byte[];1
PZZ;Prevjes gore straga;1;0;;;;;0;System.Byte[];1
RCNOG;Rupa za cijev od nape - odmak gore;;;;;;;0;System.Byte[];0
RA4;Reling za uredske mape A4;0;0;;;Ne/Da;Reling za A4 uredske mape. Unutarnja širina korpusa 396 mm. Minimalna "Dodatna visina straga" DVZ = 235 + debljina poda ladice - VZP (Visina zadnjeg djela ladice)..;0;;
RAA4;Adapter ili reling za mape A4;0;0;;;Ovalni/Adapter;Adapter za pločasti reling ili ovalni reling za uredske mape za A4.;0;;
RDN;Reling;0;0;;;Ne/Da;Reling palice Da/Ne;0;;
RDUB;Rupa za vijak - dubina;1;0;;;;;0;;0
RFI;Rupa za vijak - promjer;1;0;;;;;0;;0
RGP;Ručkica glodana - položaj;0;0;;;Dolje:sredina/Dolje lijevo/Dolje desno/Gore sredina/Gore lijevo/Gore desno/Lijevo sredina/Lijevo gore/Lijevo dolje/Desno sredina/Desno gore/Desno dolje;;0;;0
RP;Razmak ladica;0;0;;;;;0;System.Byte[];1
RCNOS;Rupa za cijev od nape - odmak straga;;;;;;;0;System.Byte[];0
RCNPO;Rupa za cijev od nape - odmak poda;;;;;;;0;;
RCNPS;Rupa za cijev od nape - širina poda;;;;;;;0;;
RP1;Radna ploča - kom po širini;0;0;;;2/1;Radna ploča izrađena u jednoj ili dvije širine;0;System.Byte[];1
RPN;Radna ploča - nastavak;;;;;Bez/Lijevi/Desni;;0;System.Byte[];1
RPD;Radna ploča - produljenje desno;0;0;;;;Produljenje desne radne ploče;0;System.Byte[];1
SPD;Širina pulta desno;0;;;;;;0;System.Byte[];1
CRS;Crystal stranica;0;0;;;Ne/Da;;0;;0
RPG;Radna ploča dodatna - povišenje;0;0;;;;Odmak u visinu dodatne radne ploče u odnosu na osnovnu radnu ploču;0;System.Byte[];1
RPL;Radna ploča - produljenje lijevo;0;0;;;;Produljenje lijeve radne ploče;0;System.Byte[];1
RPO;Reling pločasti/okrugli;0;0;;;Okr./Plos.;Pločaste/Okrugle reling palice;0;;1
RPOT;Reling s potporom;0;0;;;Ne/Da;Reling palice s potporom Da/Ne;0;;
RPP;Reling palica poprečna - broj;1;0;;;;Broj poprečnih reling palica;0;;
RPPD;Radna ploča - produljenje desno;1;0;;;;;0;;0
RPPL;Radna ploča - produljenje lijevo;1;0;;;;;0;;0
RPPO;Reling palica poprečna - odmak;0;0;;;;Međusobni razmak poprečnih reling palica;0;;
R2;Radius 2 zaokruženja;;;;;;;0;System.Byte[];1
RPS;Radna ploča - širina;0;0;;;;Radna ploča - širina;0;System.Byte[];1
RPV;Uzdužna reling palica;1;0;;;;;0;;0
RPZ;Radna ploča - zarez;0;0;;;;Širina zareza radne ploče na spoju;0;System.Byte[];1
RV;Radijus vanjskog zaobljenja;1;0;;;;;0;;0
RV23;Reling ugao 2/3;0;0;;;2/3;;0;;0
RZP;Zaobljen zaslon podn.;0;0;;;Ne/Da;;0;;0
S23;Druga i treća zajedno;0;0;;;Ne/Da;;0;System.Byte[];0
SBVBT;Tip bravice;0;0;;;Cilindar/Obični/Wc;;0;;0
SBVD;Dočepnik Da/Ne;0;0;;;Ne/Da;;0;;0
SBVFD;Dubina falca;1;0;;;;Uključuje falc na dovratniku bez brtve + debljina prednje pokrovne lajsne;0;;0
SBVFS;Širina falca;1;0;;;;;0;;0
SBVKD;Debljina krila;1;0;;;;;0;;0
SBVKOD;Odmak krila dolje;1;0;;;;;0;;0
SBVLK;Kutni spoj pokrovnih letvica;0;0;;;Ger/Vertikalna skroz/Horizontalna skroz;;0;;0
SBVLS;Širina pokrovne letvice;0;0;;;;;0;;0
SBVPS;Širina prečke za nadsvjetlo;0;0;;;;;0;;
SBVPT;Tip panta;0;0;;;Vidljivi/Skriveni 4 mm/Skriveni 5 mm;Kod skrivenih panti mjeri se odmak panta od prednje plohe vrata.;0;;0
SBVSV;Visina svjetlog otvora s nadsjvjetlom;0;0;;;;0 - bez prečke i nadsvjetla, >0 - svjetli otvor od poda do prečke;0;;0
SDD;Prednji dio do poda;0;0;;;Ne/Da;;0;System.Byte[];1
SDOP;Širina doprozornika;0;0;;;;;0;;0
SDOPD;Širina doprozornika desno;0;0;;;;;0;;0
SDOPL;Širina doprozornika lijevo;0;0;;;;;0;;0
SDOPP;Širina doprozornika dolje;0;0;;;;;0;;0
SDOPS;Širina doprozornika gore;0;0;;;;;0;;0
SDOPV;Širina doprozornika vertikalnog;0;0;;;;;0;;0
SE;Širina elementa;0;0;;;;;0;System.Byte[];1
SEGL;Broj segmenata luka;0;0;;;1/2/3/4/5;;0;;0
SF;Širina friza;0;0;;;;;0;System.Byte[];1
SFD;Širina friza desno;0;0;;;;;0;System.Byte[];1
SFL;Širina friza lijevo;0;0;;;;;0;System.Byte[];1
SFS;Širina friza dolje;0;0;;;;;0;System.Byte[];1
SFV;Širina srednjeg friza;0;0;;;;;0;;0
SFZ;Širina friza gore;0;0;;;;;0;System.Byte[];1
SIR;Širina glodanja;1;0;;;;;0;System.Byte[];1
SK;Širina korpusa;0;0;;;;;0;;0
SKD;Širina korpusa desno;0;0;;;;;0;;0
SKL;Širina korpusa lijevo;0;0;;;;;0;;0
SKRD;Skraćenje duljine;1;0;;;;;0;;0
SKRI;Širina krila;0;0;;;;;0;;0
SLET;Širina letve;1;0;;;;;0;;0
SM;Širina maske;0;0;;;;;0;System.Byte[];1
SMD;Broj međudijelova;0;0;;;;;0;System.Byte[];1
SPL;Širina pulta lijevo;1;0;;;;;0;System.Byte[];1
SRP;Širina radne ploče;1;0;;;;;0;;0
SRU;Širina rolo utora;0;0;;;;;0;;0
SSPR;Skraćenja sprijeda;0;0;;;;;0;;0
SSTR;Širina stranice;0;0;;;;;0;;0
SUT;Širina utora;1;0;;;;;0;System.Byte[];1
SV;Širina veza;0;0;;;;;0;System.Byte[];1
SVL;Suženje visine ladice;0;0;;;;;0;;0
SVLM;Širina veznika LeMans (max. 65);1;0;;;;;0;;0
SVMC;Širina veznika Magic Corner (max. 65);1;0;;;;;0;;0
OGV;Ograda - visina;;;;;;;0;System.Byte[];1
UDD;Utor/poluutor dolje do kraja;0;0;;;Ne/Da;;0;System.Byte[];1
OGP;Ograda - položaj;;;;;Ispred/Iznad;;0;System.Byte[];1
UDS;Utor/poluutor gore do kraja;0;0;;;Ne/Da;;0;System.Byte[];1
V1;Visina 1;0;0;;;;;0;System.Byte[];1
V2;Visina 2;0;0;;;;;0;System.Byte[];1
V3;Visina 3;0;0;;;;;0;System.Byte[];1
V4;Visina 4;0;0;;;;;0;System.Byte[];1
VIP;Visina ladice;1;0;;;;;0;System.Byte[];1
VKBKS;Brtva krila - širina;0;0;;;;;0;;0
VKBUS1;Brtva uklade tip 1 - širina;0;0;;;;;0;;0
VKBUS2;Brtva uklade tip 2 - širina;0;0;;;;;0;;0
VKBUT;Brtva krila - debljina;0;0;;;;;0;;0
VKBUT1;Brtva uklade tip 1 - debljina;0;0;;;;;0;;0
VKBUT2;Brtva uklade tip 2 - debljina;0;0;;;;;0;;0
VKBVW;Brtva vanjska - širina;0;0;;;;;0;;0
VKFD;Vratno krilo - dubina falca;0;0;;;;;0;;0
VKFP;Vratno krilo - proširenje u falcu;0;0;;;;;0;;0
VKKB;Krila - broj;0;0;;;;;0;;0
VKKD;Kut desni;0;0;;;Ne/Sprijeda/Straga;Kutno nastavljanje kliznih vrata na desnoj strani;0;;0
VKKL;Kut lijevi;0;0;;;Ne/Sprijeda/Straga;Kutno nastavljanje kliznih vrata na lijevoj strani;0;;0
VKKO;Odmak krila od kraja vodilice;1;0;;;;;0;;0
VKKO1;Odmak krila manji na kutnom spoju;1;0;;;;;0;;0
VKKO2;Odmak krila veći na kutnom spoju;1;0;;;;;0;;0
VKKOD;Odmak krila od podne vodilice;0;0;;;;;0;;0
VKKOG;Odmak krila od stropa;1;0;;;;;0;;0
VKKOS;Odmak simetrale krila straga;1;0;;;;;0;;0
VKKP;Preklop krila;1;0;;;;;0;;0
VKKR;Razmak prednjih i stražnjih krila;1;0;;;;;0;;0
VKKS;Širina krila;1;0;;;;;0;;0
VKKT;Debljina krila;1;0;;;;;0;;0
VKNDO;Nosač profila donji - odmak;0;0;;;;;0;;0
VKNGO;Nosač profila gornji - odmak;0;0;;;;;0;;0
VKNVO;Nosač profila vertikalni - odmak;0;0;;;;;0;;0
VKOD;Vratno krilo - odmak odoozdo;0;0;;;;;0;;0
VKOSU;Odmak simetrala uklade i vertikalnog profila;0;0;;;;;0;;0
VKPB;Preklopi - broj;0;0;;;;;0;;0
VKPDT;Profil donji - debljina;0;0;;;;;0;;0
VKPDW;Profil donji - širina;0;0;;;;;0;;0
VKPGT;Profil gornji - debljina;0;0;;;;;0;;0
VKPGW;Profil gornji - širina;0;0;;;;;0;;0
VKPK;Položaj krila;0;0;;;Lijevo/Sredina/Desno;;0;;0
VKPKT;Ptofil kutni - debljina;0;0;;;;;0;;0
VKPKW;Profil kutni  - širina;0;0;;;;;0;;0
VKPST;Profil srednji - debljina;0;0;;;;;0;;0
VKPSW;Profil srednji - širina;0;0;;;;;0;;0
VKPVD;Poklopac vodilice donje;0;0;;;Ne/Da;;0;;0
VKPVT;Profil vertikalni - debljina;0;0;;;;;0;;0
VKPVW;Profil vertikalni - širina;0;0;;;;;0;;0
VKRSP;Krila - raspored;0;0;;;2  _¬/2  ¬_/3  _¬_/3   ¬_¬/4   _¬_¬/4   ¬_¬_/4   ¬_ _¬/5   _¬_¬_/5   ¬_¬_¬/5   ¬_ _¬_/5   _¬_ _¬;;0;;0
VKSF;Vratno krilo - širina friza;0;0;;;;;0;;0
VKSFD;Vratno krilo - širina friza dolje;0;0;;;;;0;;0
VKUB;Uklade broj;0;0;;;;;0;;0
VKUD1;Uklada 1 duljina;0;0;;;;<100 = Izračun , >=100 = Vidljiva duljina;0;;0
VKUD2;Uklada 2 duljina;0;0;;;;<100 = Izračun , >=100 = Vidljiva duljina;0;;0
VKUD3;Uklada 3 duljina;0;0;;;;<100 = Izračun , >=100 = Vidljiva duljina;0;;0
VKUD4;Uklada 4 duljina;0;0;;;;<100 = Izračun , >=100 = Vidljiva duljina;0;;0
VKUD5;Uklada 5 duljina;0;0;;;;<100 = Izračun , >=100 = Vidljiva duljina;0;;0
VKUHD;Utor horizontalni - produljenje uklade;0;0;;;;;0;;0
VKUHD1;Utor horizontalni - produljenje uklade tip 1;1;0;;;;;0;;0
VKUHD2;Utor horizontalni - produljenje uklade tip 2;1;0;;;;;0;;0
VKUHD3;Utor horizontalni - produljenje uklade tip 3;1;0;;;;;0;;0
VKUHT;Utor horizontalni - dubina;0;0;;;;;0;;0
VKUHW;Utor horizontalni - širina;0;0;;;;;0;;0
VKUI;Uklade broj za izračun;0;0;;;;;0;;0
VKUI1;Uklada 1 duljina izračunata;0;0;;;;;0;;0
VKUI2;Uklada 2 duljina izračunata;0;0;;;;;0;;0
VKUI3;Uklada 3 duljina izračunata;0;0;;;;;0;;0
VKUI4;Uklada 4 duljina izračunata;0;0;;;;;0;;0
VKUI5;Uklada 5 duljina izračunata;0;0;;;;;0;;0
VKUID;Uklada duljina izračunata;0;0;;;;;0;;0
VKUIU;Uklade duljina izračunata - ukupna;0;0;;;;;0;;0
VKUK1;Uklada 1;0;0;;;Ploča/Staklo/Ogledalo;;0;;0
VKUK2;Uklada 2;0;0;;;Ne/Ploča/Staklo/Ogledalo;;0;;0
VKUK3;Uklada 3;0;0;;;Ne/Ploča/Staklo/Ogledalo;;0;;0
VKUK4;Uklada 4;0;0;;;Ne/Ploča/Staklo/Ogledalo;;0;;0
VKUK5;Uklada 5;0;0;;;Ne/Ploča/Staklo/Ogledalo;;0;;0
VKUUS;Utor za ukladu - širina;0;0;;;;;0;;0
VKUVD;Utor vertikalni - proširenje uklade;0;0;;;;;0;;0
VKUVD1;Utor vertikalni - produljenje uklade tip 1;1;0;;;;;0;;0
VKUVD2;Utor vertikalni - produljenje uklade tip 2;1;0;;;;;0;;0
VKUVD3;Utor vertikalni - produljenje uklade tip 3;1;0;;;;;0;;0
VKUVT;Utor vertikalni - dubina;0;0;;;;;0;;0
VKUVW;Utor vertikalni - širina;0;0;;;;;0;;0
VKUZ1;Uklada tip 1 zračnost;0;0;;;;;0;;0
VKUZ2;Uklada tip 2 zračnost;0;0;;;;;0;;0
VKVD;Vodilica donja;0;0;;;Naljepna/Ukop puni/Ukop djelomični;Položaj i način učvršćenja donje vodilice za pod;0;;0
VKVDDT;Vodilica donja djelomično ukopna - debljina;0;0;;;;;0;;0
VKVDDW;Vodilica donja djelomično ukopna - širina;0;0;;;;;0;;0
VKVDNT;Vodilica donja naljepna - debljina;0;0;;;;;0;;0
VKVDNW;Vodilica donja naljepna - širina;0;0;;;;;0;;0
VKVDO;Odmak simetrala donje prema gornjoj vodilici;1;0;;;;Odmak straga simetrale donje vodilice u odnosu na simetralu gornje vodilice;0;;0
VKVDUT;Vodilica donja ukopna - debljina;0;0;;;;;0;;0
VKVDUW;Vodilica donja ukopna - širina;0;0;;;;;0;;0
VKVDZ;Z položaj vodilice donje;1;0;;;;;0;;0
VKVDZ1;Z položaj vodilice donje - tip 1;1;0;;;;;0;;0
VKVDZ2;Z položaj vodilice donje - tip 2;1;0;;;;;0;;0
VKVDZ3;Z položaj vodilice donje - tipa 3;1;0;;;;;0;;0
VKVGT;Vodilica gornja - debljina;0;0;;;;;0;;0
VKVGW;Vodilica gornja - širina;0;0;;;;;0;;0
VKVOD;Visina otvora;1;0;;;;;0;;0
VKVOS;Odmak vodilice gornje straga;1;0;;;;;0;;0
VL;Visina letve;0;0;;;;;0;;0
VOD;Visina otvora;1;0;;;;;0;System.Byte[];0
VOS;Visina obline odozdo;0;0;;;;;0;System.Byte[];1
VOZ;Visina obline odozgo;0;0;;;;;0;System.Byte[];1
VSP;Visina prednjeg dijela;0;0;;;;;0;System.Byte[];1
VV;Visina vijenca;0;0;;;;;0;;0
VZ;Visina straga;1;0;;;;;0;;0
VZP;Visina zadnjega dijela na ladici;1;0;;;;;0;System.Byte[];1
W1;Širina 1;1;0;;;;;0;;0
W2;Širina 2;0;0;;;;;0;;0
ZDD;Zadnji dio do poda;0;0;;;Ne/Da;;0;System.Byte[];1
ZDP;Zrak dna ladice;0;0;;;;;0;System.Byte[];1
ZDPZ;Zrak dna ladice straga;1;0;;;;;0;System.Byte[];1
ZDV;Vanjska klizna vrata;0;0;;;Ne/Da;;0;;0
ZHS;Zrak leđa po širini;1;0;;;;;0;System.Byte[];1
ZHV;Zrak leđa po visini;1;0;;;;;0;System.Byte[];1
ZKLD;Završetak kutne letve desni;0;0;;;Ne/Da;;0;;0
ZKLL;Završetak kutne letve lijevi;0;0;;;Ne/Da;;0;;0
ZKLT;Završetak kutne letve - debljina;0;0;;;;;0;;0
ZKRP;Zarez kutne radne ploče;1;0;;;;;0;;0
ZO;S oblinom;0;0;;;Ne/Da;;0;;0
ZR;Zrak fronte;1;0;;;;;0;;0
ZRD;Zrak desno;1;0;;;;;0;System.Byte[];1
ZRI;Zrak iza;1;0;;;;;0;;
ZRIZ;Debljina vodilica ladice;1;0;;;;;0;System.Byte[];1
ZRL;Zrak lijevo;1;0;;;;;0;System.Byte[];1
ZRP;Zrak uklade;0;0;;;;;0;System.Byte[];1
ZRS;Zrak ispod;1;0;;;;;0;System.Byte[];1
ZRV;Zrak između;1;0;;;;;0;System.Byte[];1
ZRZ;Zrak iznad;1;0;;;;;0;System.Byte[];1
ZSP;Zrak prednjeg dijela ladice;1;0;;;;;0;System.Byte[];1
ZZP;Zrak zadnjeg dijela ladice;0;0;;;;;0;System.Byte[];1
ZZR;Zrak za ručkicu;0;0;;;;;0;;0
ide;Poluu./utor. pod;0;0;;;Ne/Da;;0;System.Byte[];1
SLOJ3;Slojeva do 3;;;;;1/2/3;;0;;
VIJS;Vijenac - strana;;;;;Ne/Lijeva/Desna/Obje;;0;;
OKVRP;Okvir - razmak prečki;;;;;;;0;;
GER;Ger;;;;;Ne/Da;;0;;
KUT_45;Kut između -45 i 45 stupnjeva;1;;-45;45;;;0;;
KUTNS;Kutnik vidljiva širina;;;;;;;0;System.Byte[];0
ZUT;Zrak u utoru;;;;;;;0;;
PS;Prevjes sprijeda;1;;;;;;0;System.Byte[];0
LETS;Letva - širina;;;;;;;0;System.Byte[];0
LETD;Letva - debljina;;;;;;;0;System.Byte[];0
LETR;Letva - razmak;;;;;;;0;System.Byte[];0
LETI;Letva - izračun;;;;;Razmaka/Letvice/Letvice i razmaka;;0;System.Byte[];0
ODMOS;Odmak od stranice;0;;;;;- odmak na lijevo    + odmak na desno;0;System.Byte[];0
PRS;Prevjes sprijeda;1;;;;;;0;System.Byte[];0
PRZ;Prevjes straga;1;;;;;;0;System.Byte[];0
ZKAP;Završna kapica;;;;;Ne/Da;;0;System.Byte[];0
KUTNP;Kutnik položaj držača;;1;;;Okomito/Paralelno;;0;System.Byte[];0
OV;Odmak veza;1;0;;;;;0;System.Byte[];1
RZI;Radius izreza;;;;;;;0;System.Byte[];0
UKLZU;Uklada - zaobljenje uglova;;;;;Ne/Da;;0;System.Byte[];0
R3;Radius 3 zaokruženja;;;;;;;0;System.Byte[];1
MIN;Minimalna vrijednost;;;;;;;0;;
BUS;Poluutor / Utor stranice;;;;;Poluutor/Utor;;0;System.Byte[];0
BUL;Poluutir / Utor leđa;;;;;Poluutor/Utor/Bez;;0;System.Byte[];0
DDEB;Dodatna debljina;1;;;;;;0;System.Byte[];0
DSIR;Dodatna širina;1;;;;;;0;System.Byte[];0
RUND;Rund radius;;;;;;;0;System.Byte[];0
OSPL;Oblik spoja ploča lijevo;;;;;Ne/Uzdužni/Poprečni;;0;System.Byte[];0
LEDSMD;LED - širina desne maske;;;;;;;0;;
LEDSML;LED širina lijeve maske;;;;;;;0;;
DKPL;Duljina kraka ploče lijevo;;;;;;;0;System.Byte[];0
DKPD;Duljina kraka ploče desno;;;;;;;0;System.Byte[];0
SUP;Širina uzdužne ploče;;;;;;;0;System.Byte[];0
SKPL;Širina kraka ploče lijevo;;;;;;;0;System.Byte[];0
SKPD;Širina kraka ploče desno;;;;;;;0;System.Byte[];0
LEDKAP;LED kapica;;;;;Ne/Da;;0;;
LEDKAPT;LED debljina kapice;;;;;;;0;System.Byte[];0
