UP_KEY;UP_DESC;UP_ALLOW_NEG;UP_IS_INT;UP_LIM_MIN;UP_LIM_MAX;UP_CAPTION;UP_LONGDESC;UP_TYPE;UP_PICTURE;UP_IS_WMF
OZMO;Odmak od zidarske mjere otvora;;;;;;;0;System.Byte[];0
KUT1;Kut prvi;;0;;;;;0;;
IZR_0;Izračun 0;;0;;;;Pomoćno polje za izračun;0;;
IZR_1;Izračun 1;;0;;;;Pomoćno polje za izračun;0;;
IZR_2;Izračun 2;;0;;;;Pomoćno polje za izračun;0;;
IZR_3;Izračun 3;;0;;;;Pomoćno polje za izračun;0;;
PPT01;Ppt 1;;0;;;;;0;;
ODMSDG;Odmak-strana desno-gore;;0;;;Lijevo/Desno/Gore/Dolje;Strana odmaka kose police od ugla;0;System.Byte[];1
ODMSLG;Odmak-strana lijevo-gore;;0;;;Lijevo/Desno/Gore/Dolje;Strana odmaka kose police od ugla;0;System.Byte[];1
VSST;Vez stražnji smjer - tip;0;0;;;Horizontalno/Vertikalno/Al profil;Smjer stražnjeg drvnog veza hoorizontalno ili vertikalno, odnosno vez od AL profiala.;0;System.Byte[];0
ZP;Sa coklom;0;0;;;Ne/Da;;0;System.Byte[];1
ZPG;Zrak podnožja gore;0;0;;;;;0;System.Byte[];0
RPDN;Radna ploča Da/Ne;;;;;Ne/Da;;0;;
JEDVIS;Jednaka visina;;;;;Ne/Da;;0;;
VRMI;Izbor vrata - maska;0;0;;;Vrata/Maska;;0;System.Byte[];0
VRMS;Širina vrata - maska;0;0;;;;;0;System.Byte[];0
POK;Poklopac;;;;;Ne/Da;;0;System.Byte[];1
N10;Broj otvora (od 1 do 10);;1;1;10;;;0;;
VSS;Vez stražnji smjer;;;;;Horizontalno/Vertikalno;Smjer stražnjeg veza hoorizontalno ili vertikalno.;0;System.Byte[];1
VSVP;Vez stražnji vertikalni položaj;;;;;Ispred leđa/Iza leđa;Položaj steažnjeg veza ispred ili iza leđa.;0;System.Byte[];1
TXT_01;Tekst 1;;;;;;;0;;
ZHU;Zrak leđa u utoru;;;;;;;0;System.Byte[];1
PPOL;Pod - položaj;;;;;Između stranica/Ispod stranica/Ger;Položaj poda u odnosu na stranice korpusa.;0;System.Byte[];0
SPOL;Strop - položaj;;;;;Između stranica/Iznad stranica/Ger;Položaj stropa u odnosu na stranice korpusa.;0;System.Byte[];0
TXT_02;Tekst 2;;;;;;;0;;
TXT_03;Tekst 3;;;;;;;0;;
PDUD;Poluutor dodatni uz utor - dubina;;;;;;;0;System.Byte[];1
PDUS;Poluutor dodatni uz utor - širina;;;;;;;0;System.Byte[];1
VDOT;Vrata dovratnik debljina opšave;;;;;;;0;;
VDL;Vez dodatni iza leđa;;;;;Ne/Da;;0;System.Byte[];1
VO;Visina obline;;;;;;;0;;
IS2;Izrez - širina 2;;;;;;;0;System.Byte[];1
IU;Izrez - U oblik;;;;;Ne/Da;;0;System.Byte[];1
SSPD;Stranica - strana produljenja dolje;;;;;Ne/Lijeva/Desna/Obje;;0;;
RUBK;Rub kosi;;;;;Ne/Da;;0;System.Byte[];1
VDT;Vrata dovratnik debljina;;;;;;;0;;
VDHT;Vrata dovratnik debljina horizontale;;;;;;;0;;
OSIRPL;Širina oplate prednje lijevo;;;;;;;0;;
OSIRPD;Širina oplate prednje desno;;;;;;;0;;
OSIRSD;Širina oplate stražnje desno;;;;;;;0;;
OSIRSL;Širina oplate stražnje lijevo;;;;;;;0;;
OSIRPG;Širina oplate prednje gore;;;;;;;0;;
OSIRSG;Širina oplate stražnje gore;;;;;;;0;;
VOZR;Zrak obloge;;;;;;;0;;
PPG;Pomak po dubini;;;;;;;0;System.Byte[];
PLP;Podna prednja letva - broj;;;;;Ne/Prednja/Stražnja/Obje;Izbor koliko podnih letava;0;;
R1;Radius 1 zaokruženja;;0;;;;;0;System.Byte[];1
T1;Debljina 1;;0;;;;;0;;
PPT02;Ppt 2;;0;;;;;0;;
PPT03;Ppt 3;;0;;;;;0;;
PPT04;Ppt 4;;0;;;;;0;;
PPT05;Ppt 5;;0;;;;;0;;
PPT06;Ppt 6;;0;;;;;0;;
PPT07;Ppt 7;;0;;;;;0;;
PPT08;Ppt 8;;0;;;;;0;;
PPT09;Ppt 9;;0;;;;;0;;
PPT10;Ppt 10;;0;;;;;0;;
KUTL;Kut lijevo;;0;;;;;0;System.Byte[];0
KUTD;Kut desno;;0;;;;;0;System.Byte[];0
KRPL;Kut razlike pravokutnosti lijevo;;0;;;;;0;;
KRPD;Kut razlike pravokutnosti desno;;0;;;;;0;;
PPT11;Ppt 11;;0;;;;;0;;
HV;Horizontalno/Vertikalno;0;0;;;Horizontalno/Vertikalno;;0;System.Byte[];0
HZK;Leđa gore do kraja;0;0;;;Ne/Da;;0;;0
IS;Izrez - širina;0;0;;;;;0;System.Byte[];1
IZN;Odmak od:;0;0;;;Van/Unutra;;0;;0
IZR;Izrez;0;0;;;;;0;System.Byte[];1
PPT12;Ppt 12;;0;;;;;0;;
PPT13;Ppt 13;;0;;;;;0;;
PPT14;Ppt 14;;0;;;;;0;;
PPT15;Ppt 15;;0;;;;;0;;
PPT16;Ppt 16;;0;;;;;0;;
PPT17;Ppt 17;;0;;;;;0;;
PPT18;Ppt 18;;0;;;;;0;;
PPT19;Ppt 19;;0;;;;;0;;
PPT20;Ppt 20;;0;;;;;0;;
NP1;Predznak;;0;;;;;0;;
KTL;Kut šiljasti/tupi lijevi;;0;;;;;0;;
KTD;Kut šiljasti/tupi desni;;0;;;;;0;;
