MAT_KEY;MAT_KEY2;MAT_DESC;MAT_DESC2;MAT_DESCS;MAT_MANUF_KEY;MAT_THICK;MAT_COL;MAT_COL2;MAT_LAYER;MAT_GROUP;MAT_ART1;MAT_ART2;MAT_ART3;MAT_ART4;MAT_ART5;MAT_W_UN;MAT_O_UN;MAT_ROT;MAT_WEIGHT;MAT_W_PRICE;MAT_BM_L;MAT_BM_W;MAT_BM_T;MAT_ED_L;MAT_ED_W;MAT_ED_T;MAT_ED_M;MAT_MEMO;MAT_DRILL;MAT_DATE;MAT_MC_MAT;MAT_MC_MAT_NO_EDGE;MAT_MR_MAT;MAT_MP_MAT;MAT_MATHATCH;MAT_DECORE;MAT_LEVEL1;MAT_LEVEL2;MAT_LEVEL3;MAT_LEVEL_ABAND;MAT_LEVEL_TMP;MAT_CUSTOM01;MAT_CUSTOM02;MAT_CUSTOM03;MAT_CUSTOM04;MAT_CUSTOM05;MAT_CUSTOM06;MAT_CUSTOM07;MAT_CUSTOM08;MAT_CUSTOM09;MAT_CUSTOM10;MAT_NO_ORDER;MAT_ID;MAT_F_LEN;MAT_F_WID;MAT_F_THK;MAT_FACT;MAT_REST;MAT_MAC;MAT_ROUTER_GROUP;MAT_IMAGE_ID;MAT_ROUTER_DATA;MAT_COL_RAL;MAT_COL_NCS
BL_770K4502S_CS;;LEGRABOX K 450 mm 770K4502S CS;;;3919192;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;1,93;14;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7289;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770K4502S.MAC;;;;;
BL_770K5002S_CS;;LEGRABOX K 500 mm 770K5002S CS;;;5153486;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;2,099;14;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7290;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770K5002S.MAC;;;;;
BL_770K5502S_CS;;LEGRABOX K 550 mm 770K5502S CS;;;7688906;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;2,257;14;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7291;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770K5502S.MAC;;;;;
BL_770K6002S_CS;;LEGRABOX K 600 mm 770K6002S CS;;;4890748;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;2,465;15;0;0;0;0;0;0;0;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7292;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770K6002S.MAC;;;;;
BL_770M2702S_CS;;LEGRABOX M 270 mm 770M2702S CS;;;6690420;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;1,072;14;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7293;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770M2702S.MAC;;;;;
BL_770M3002S_CS;;LEGRABOX M 300 mm 770M3002S CS;;;2155365;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;1,16;14;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7294;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770M3002S.MAC;;;;;
BL_770M3502S_CS;;LEGRABOX M 350 mm 770M3502S CS;;;9402187;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;1,3;14;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7295;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770M3502S.MAC;;;;;
BL_770M4002S_CS;;LEGRABOX M 400 mm 770M4002S CS;;;7018005;0;-15067368;0;4026531840;4026531840;7;0;0;0;0;PAR;PAR;1;1,504;14;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7296;0;0;0;1;0;Okov\Blum\Vodilice\LegraBox\770M4002S.MAC;;;;;
8U-RM-OYSTER;;ULJE RUBIO OYSTER;OYSTER;;;0;0;0;4026531840;4026531840;8;293;;;;KG;KG;1;1;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;8228;0;0;0;1;0;;;;;;
EG_F108ST9_A1543;;ABS F108ST9   1,5/43 mm ;;2;;1,5;0;-16711936;4026531840;4026531840;4;93;125;;;M1;M1;1;0;0;0;0;0;70;0;0;0;;0;20.2.2026. 0:00:00;Egger24plus\F108;;;;;F108ST9  ;0;0;1;0;0;;;;;;;;;;;0;11439;0;43;1,5;1;0;;;;;;
